Combination,myPort,Risk
"('SAPPE', 'UNH', 'Visa', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'Visa', 'AVGO', 'KCE')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'Visa', 'AVGO', 'HCA')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'Visa', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'Visa', 'AVGO', 'AMZN')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'Visa', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'Visa', 'AVGO', 'O')",[0.    0.    0.    0.464 0.536],3.2126560226565015
"('SAPPE', 'UNH', 'META', 'BMWG', 'AVGO')",[0.    0.    0.    0.552 0.448],3.162191683861013
"('SAPPE', 'UNH', 'META', 'AP', 'AVGO')",[0.    0.    0.    0.566 0.434],3.098681637218548
"('SAPPE', 'UNH', 'META', 'ABBV', 'AVGO')",[0.    0.    0.    0.526 0.474],3.6383210926986136
"('SAPPE', 'UNH', 'META', 'AVGO', 'LH')",[0.    0.    0.    0.414 0.586],3.0471999614979155
"('SAPPE', 'UNH', 'META', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'META', 'AVGO', 'CVX')",[0.    0.    0.    0.454 0.546],3.57056055696911
"('SAPPE', 'UNH', 'META', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'META', 'AVGO', 'KCE')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'META', 'AVGO', 'HCA')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'META', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'META', 'AVGO', 'AMZN')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'META', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'META', 'AVGO', 'O')",[0.    0.    0.    0.464 0.536],3.2126560226565015
"('SAPPE', 'UNH', 'TOP', 'BMWG', 'AVGO')",[0.    0.    0.    0.552 0.448],3.162191683861013
"('SAPPE', 'UNH', 'TOP', 'AP', 'AVGO')",[0.    0.    0.    0.566 0.434],3.098681637218548
"('SAPPE', 'UNH', 'TOP', 'NVDA', 'AVGO')",[0.103 0.    0.411 0.    0.486],3.6233474623985833
